naslov,avtor,ocena,vse_ocene,kon_ocena,vsi_glasovi
The Historian,Elizabeth Kostova, 3.79 ,"242,092",44.823,542
The Complete Sherlock Holmes,Arthur Conan Doyle, 4.48 ,"174,012",44.539,580
Candide,Voltaire, 3.77 ,"219,391",44.231,583
James and the Giant Peach,Roald Dahl, 4.02 ,"378,317",44.080,619
Invisible Man,Ralph Ellison, 3.88 ,"156,599",43.994,556
Paradise Lost,John Milton, 3.81 ,"136,626",43.655,590
Blood River: A Journey to Africa&#39;s Broken Heart,Tim Butcher, 4.06 ,"7,515",43.627,440
All Creatures Great and Small,James Herriot, 4.32 ,"114,398",43.536,578
Gone Girl,Gillian Flynn, 4.07 ,"2,326,416",43.529,531
Leaves of Grass,Walt Whitman, 4.12 ,"89,745",43.476,590
Graceling,Kristin Cashore, 4.08 ,"384,244",43.275,511
The Thirteenth Tale,Diane Setterfield, 3.97 ,"271,975",42.961,522
The Complete Works,William Shakespeare, 4.50 ,"50,158",42.931,558
Norwegian Wood,Haruki Murakami, 4.03 ,"346,601",42.890,494
The Things They Carried,Tim O&#39;Brien, 4.13 ,"250,990",42.780,523
Foundation,Isaac Asimov, 4.17 ,"408,708",42.778,524
The Time Machine,H.G. Wells, 3.89 ,"412,141",42.526,594
Different Seasons,Stephen King, 4.34 ,"176,537",42.522,573
The Cider House Rules,John Irving, 4.13 ,"161,086",42.495,571
Kafka on the Shore,Haruki Murakami, 4.13 ,"305,103",41.756,474
Heidi,Johanna Spyri, 3.99 ,"172,437",41.699,582
"Are You There God? It&#39;s Me, Margaret",Judy Blume, 3.90 ,"189,096",41.526,555
City of Lost Souls,Cassandra Clare, 4.27 ,"423,276",41.154,513
Sophie&#39;s World,Jostein Gaarder, 3.93 ,"199,924",41.018,497
Walden,Henry David Thoreau, 3.78 ,"157,558",40.641,543
The Wise Man&#39;s Fear,Patrick Rothfuss, 4.56 ,"426,979",40.195,443
زندگی مه آلود پریا,سید مرتضی مصطفوی, 3.92 ,948,39.342,396
The Awakening,Kate Chopin, 3.65 ,"170,509",39.307,501
Fangirl,Rainbow Rowell, 4.05 ,"574,058",39.173,450
Sophie&#39;s Choice,William Styron, 4.18 ,"81,672",38.844,528
The Prince of Tides,Pat Conroy, 4.24 ,"193,737",38.129,502
Never Let Me Go,Kazuo Ishiguro, 3.82 ,"470,274",37.910,465
The Son of Neptune,Rick Riordan, 4.43 ,"412,147",37.610,475
Dead Until Dark,Charlaine Harris, 3.96 ,"495,421",37.299,470
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg, 4.28 ,"265,607",37.166,518
Fifty Shades Darker,E.L. James, 3.84 ,"744,343",36.997,438
Ready Player One,Ernest Cline, 4.26 ,"859,151",36.716,409
Middlemarch,George Eliot, 3.97 ,"135,509",36.560,456
The Monster at the End of this Book,Jon Stone, 4.44 ,"119,975",36.511,451
Things Fall Apart,Chinua Achebe, 3.68 ,"287,268",36.188,467
